"id" "PT" "PU" "AP" "PC" "NG" "NB" "ND" "NS" "MO" "PSN" "CH" "DABM" "DSBM" "DSIG" "DPXV" "DCTC" "BRO" "COORD_E" "COORD_N"
"167" 167 689000 10600 65 "Alto" 2 2 2 1 "SM" "Nao" "Sim" 388 3654 2063 5398 2341 "Trindade" 744370 6946598
"168" 168 457954 4673 98 "Médio" 1 2 3 1 "SM" "Nao" "Nao" 1898 6683 1952 3968 875 "Trindade" 744386 6945082
"169" 169 549998 4661 118 "Médio" 1 3 3 2 "N" "Nao" "Sim" 1926 6557 1826 4132 749 "Trindade" 744470 6945053
"170" 170 530024 6023 88 "Médio" 1 2 3 1 "N" "Nao" "Nao" 1212 5200 2617 6944 1540 "Trindade" 744749 6945806
"171" 171 299988 5769 52 "Médio" 1 1 2 0 "SM" "Nao" "Nao" 1137 5226 2643 6970 1566 "Trindade" 744826 6945908
"172" 172 690000 9200 75 "Alto" 1 2 2 1 "N" "Sim" "Nao" 263 3437 2412 5181 2539 "Trindade" 744241 6946810
"173" 173 790023 5603 141 "Médio" 1 3 3 3 "SM" "Nao" "Sim" 959 4597 1165 6341 1757 "Trindade" 744580 6946030
"174" 174 319995 4923 65 "Baixo" 1 2 2 0 "N" "Nao" "Nao" 777 3750 1649 5494 1927 "Trindade" 744468 6946202
"175" 175 360000 4800 75 "Baixo" 1 1 2 0 "N" "Nao" "Sim" 1333 5308 2555 7052 1478 "Trindade" 744900 6945726
"176" 176 635035 7471 85 "Médio" 1 2 3 1 "MO" "Nao" "Sim" 861 4760 1449 6504 1727 "Trindade" 744438 6946118
"177" 177 319995 4923 65 "Baixo" 1 1 3 0 "N" "Nao" "Nao" 667 3683 1716 5427 1994 "Trindade" 744438 6946312
"178" 178 549990 7857 70 "Médio" 2 1 2 1 "N" "Nao" "Nao" 737 4955 1644 6699 1922 "Trindade" 744275 6946261
"179" 179 589968 8194 72 "Alto" 2 1 2 1 "N" "Nao" "Sim" 1165 5114 2623 6858 1546 "Trindade" 744592 6945823
"180" 180 294976 4609 64 "Baixo" 1 1 2 0 "N" "Nao" "Nao" 937 3971 1986 5715 2264 "Trindade" 744045 6946131
"181" 181 350025 4667 75 "Baixo" 1 1 3 0 "N" "Nao" "Nao" 1275 5308 2555 7052 1478 "Trindade" 744913 6945793
"182" 182 479960 3692 130 "Baixo" 1 3 3 1 "SM" "Nao" "Nao" 1728 5558 1831 5718 754 "Trindade" 744628 6945261
"183" 183 340032 5152 66 "Baixo" 1 1 2 0 "N" "Nao" "Nao" 1743 5567 1894 5781 817 "Trindade" 744721 6945258
"184" 184 348000 7250 48 "Médio" 1 1 1 0 "SM" "Nao" "Sim" 2115 7040 2309 4120 1232 "Trindade" 744148 6944884
"185" 185 440016 4944 89 "Médio" 1 2 2 1 "N" "Nao" "Nao" 1942 6837 2106 3917 1029 "Trindade" 744244 6945047
"186" 186 505036 4244 119 "Baixo" 2 3 3 1 "N" "Nao" "Nao" 1902 6746 2015 3904 938 "Trindade" 744295 6945082
"187" 187 519979 7123 73 "Médio" 1 2 2 1 "N" "Nao" "Sim" 1903 5852 2146 6033 1069 "Trindade" 744999 6945159
"188" 188 260000 6500 40 "Baixo" 1 1 1 0 "SM" "Nao" "Sim" 430 3702 2013 5446 2291 "Trindade" 744373 6946554
"189" 189 290004 4394 66 "Baixo" 1 1 3 0 "N" "Nao" "Nao" 912 3921 1936 5665 2214 "Trindade" 744057 6946153
